,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST,PTS+REB,BLKS+STLS
0,0022301029,"MAR 24, 2024",MIA vs. CLE,15,6,1,3,2,6,3,1,2,0,9,8,32,24,21,9,18,1
1,0022301013,"MAR 22, 2024",MIA vs. NOP,17,5,1,4,0,12,5,0,3,0,7,7,-8,26,22,9,21,1
2,0022300996,"MAR 20, 2024",MIA @ CLE,30,5,4,4,2,19,11,2,4,0,7,6,10,39,35,9,34,4
3,0022300962,"MAR 15, 2024",MIA @ DET,14,3,2,4,1,11,5,0,1,0,5,4,18,21,17,7,18,2
4,0022300949,"MAR 13, 2024",MIA vs. DEN,15,2,0,5,1,16,6,1,2,1,2,2,-12,22,17,7,20,1
5,0022300926,"MAR 10, 2024",MIA vs. WAS,23,4,1,3,2,20,9,0,4,1,6,5,0,30,27,7,26,2
6,0022300914,"MAR 08, 2024",MIA @ OKC,20,8,0,10,1,16,8,0,3,0,6,4,3,38,28,18,30,0
7,0022300904,"MAR 07, 2024",MIA @ DAL,14,5,2,4,6,12,6,1,2,0,2,1,1,23,19,9,18,2
8,0022300888,"MAR 05, 2024",MIA vs. DET,26,8,2,6,2,13,7,1,3,0,12,11,1,40,34,14,32,2
9,0022300867,"MAR 02, 2024",MIA vs. UTA,37,7,1,3,2,19,12,3,3,1,11,10,14,47,44,10,40,2
10,0022300855,"FEB 29, 2024",MIA @ DEN,21,3,1,7,0,17,7,1,4,0,9,6,0,31,24,10,28,1
11,0022300842,"FEB 27, 2024",MIA @ POR,22,9,4,4,1,12,7,1,2,2,9,7,5,35,31,13,26,6
12,0022300810,"FEB 23, 2024",MIA @ NOP,23,6,3,9,3,12,7,1,1,1,12,8,19,38,29,15,32,4
13,0022300730,"FEB 07, 2024",MIA vs. SAS,17,11,3,11,0,12,5,1,3,1,6,6,17,39,28,22,28,4
14,0022300721,"FEB 06, 2024",MIA vs. ORL,23,8,3,8,5,9,6,2,4,0,12,9,11,39,31,16,31,3
15,0022300708,"FEB 04, 2024",MIA vs. LAC,21,3,2,4,1,19,8,2,5,0,3,3,1,28,24,7,25,2
16,0022300689,"FEB 02, 2024",MIA @ WAS,24,3,1,9,2,10,7,1,1,0,13,9,8,36,27,12,33,1
17,0022300678,"JAN 31, 2024",MIA vs. SAC,31,6,1,7,1,14,10,2,3,0,12,9,-1,44,37,13,38,1
18,0022300661,"JAN 29, 2024",MIA vs. PHX,26,4,1,8,0,12,7,2,2,0,10,10,-17,38,30,12,34,1
19,0022300643,"JAN 27, 2024",MIA @ NYK,28,4,3,8,0,20,11,1,3,0,6,5,-7,40,32,12,36,3
20,0022300630,"JAN 25, 2024",MIA vs. BOS,17,4,2,3,1,11,7,2,3,0,1,1,-24,24,21,7,20,2
21,0022300621,"JAN 24, 2024",MIA vs. MEM,15,3,2,4,4,10,4,1,2,0,8,6,-4,22,18,7,19,2
22,0022300601,"JAN 21, 2024",MIA @ ORL,15,2,0,4,0,10,5,3,5,0,2,2,-10,21,17,6,19,0
23,0022300587,"JAN 19, 2024",MIA vs. ATL,25,6,2,5,4,10,8,0,0,0,10,9,0,36,31,11,30,2
24,0022300574,"JAN 17, 2024",MIA @ TOR,16,5,2,5,1,11,6,0,0,0,5,4,-8,26,21,10,21,2
25,0022300562,"JAN 15, 2024",MIA @ BKN,31,4,2,5,1,12,8,0,0,0,16,15,6,40,35,9,36,2
26,0022300439,"DEC 30, 2023",MIA @ UTA,8,1,0,2,2,3,2,0,0,1,4,4,4,11,9,3,10,1
27,0022300353,"DEC 18, 2023",MIA vs. MIN,15,5,0,5,1,12,5,1,3,0,6,4,5,25,20,10,20,0
28,0022300337,"DEC 16, 2023",MIA vs. CHI,28,2,2,4,2,18,9,0,2,0,11,10,12,34,30,6,32,2
29,0022300320,"DEC 14, 2023",MIA vs. CHI,20,7,0,6,1,15,6,0,1,0,10,8,-10,33,27,13,26,0
30,0022300312,"DEC 13, 2023",MIA vs. CHA,15,10,1,7,4,8,4,0,0,0,7,7,19,32,25,17,22,1
31,0022300292,"DEC 11, 2023",MIA @ CHA,23,8,1,4,3,12,7,1,1,1,9,8,13,35,31,12,27,2
32,0022301220,"DEC 08, 2023",MIA vs. CLE,16,2,1,5,2,15,5,0,2,0,7,6,-5,23,18,7,21,1
33,0022301207,"DEC 06, 2023",MIA @ TOR,19,8,1,2,0,16,7,1,1,0,5,4,5,29,27,10,21,1
34,0022300284,"DEC 02, 2023",MIA vs. IND,33,5,0,5,1,23,12,0,1,0,9,9,-17,43,38,10,38,0
35,0022300267,"NOV 30, 2023",MIA vs. IND,36,3,0,11,3,19,9,0,1,0,20,18,-3,50,39,14,47,0
36,0022300045,"NOV 24, 2023",MIA @ NYK,23,3,1,2,2,14,7,3,5,0,6,6,7,28,26,5,25,1
37,0022300229,"NOV 22, 2023",MIA @ CLE,10,9,2,4,1,12,3,1,5,2,4,3,23,23,19,13,14,4
38,0022300220,"NOV 20, 2023",MIA @ CHI,16,6,1,3,1,11,4,0,2,0,9,8,17,25,22,9,19,1
39,0022300204,"NOV 18, 2023",MIA @ CHI,25,2,1,3,2,16,8,2,6,0,7,7,7,30,27,5,28,1
40,0022300200,"NOV 16, 2023",MIA vs. BKN,36,3,1,5,4,19,12,2,5,3,11,10,9,44,39,8,41,4
41,0022300017,"NOV 14, 2023",MIA @ CHA,32,5,2,4,3,14,10,1,1,0,14,11,2,41,37,9,36,2
42,0022300184,"NOV 12, 2023",MIA @ SAS,19,4,0,6,2,14,5,1,3,1,9,8,14,29,23,10,25,1
43,0022300164,"NOV 08, 2023",MIA @ MEM,15,2,2,3,1,13,5,2,4,0,3,3,12,20,17,5,18,2
44,0022300150,"NOV 06, 2023",MIA vs. LAL,28,6,2,4,3,15,9,3,4,0,7,7,-1,38,34,10,32,2
45,0022300003,"NOV 03, 2023",MIA vs. WAS,20,2,3,7,2,11,7,1,2,0,6,5,6,29,22,9,27,3
46,0022300119,"NOV 01, 2023",MIA vs. BKN,20,3,1,7,1,16,7,0,2,0,8,6,-3,30,23,10,27,1
47,0022300107,"OCT 30, 2023",MIA @ MIL,13,4,0,4,1,11,4,1,2,1,4,4,-13,21,17,8,17,1
48,0022300080,"OCT 27, 2023",MIA @ BOS,14,3,1,5,1,11,3,0,0,1,9,8,0,22,17,8,19,2
49,0022300068,"OCT 25, 2023",MIA vs. DET,19,4,2,13,0,18,6,0,0,0,9,7,-3,36,23,17,32,2
